Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Animate Dead | Harvester of Misery | Peat Bog,0.0
Battlefly Swarm | Encroach | Swamp,0.0
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-0.5
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
Crawling Chorus | Snow-Covered Plains | Swords to Plowshares,0.0
Daze | Ocelot Pride | Tundra,0.0
Dryad Arbor | Hexdrinker | Lush Growth,1.0
Eater of Days | Mana Vault | Swamp,-1.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Mox Ruby | Mutavault | Roiling Vortex,1.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Prairie Dog | Remote Farm | White Orchid Phantom,-1.0
