Opponent Decklist,Result
Ancient Spring | Dreadhorde Invasion | The Ozolith,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Blinkmoth Nexus | City of Traitors | Inkmoth Nexus,-1.0
Botanical Sanctum | Galerider Sliver | Virulent Sliver,-1.0
"Bottomless Vault | Emrakul, the Aeons Torn | Smallpox",1.0
Bottomless Vault | Forsaken Miner | Jinxed Idol,1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,-1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dark Ritual | Graveyard Trespasser | Urborg,-1.0
Daze | Island | Mausoleum Wanderer,0.0
Daze | Island | Soldevi Sentry,-0.5
Detention Vortex | Prairie Dog | Remote Farm,-1.0
Dunes of the Dead | Mox Ruby | Raze,0.5
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,-1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Golgari Rot Farm | Peat Bog | Piper of the Swarm,-1.0
Inkmoth Nexus | Luminarch Aspirant | Mox Pearl,0.0
Reinforced Ronin | Storm World | Undiscovered Paradise,-1.0
